,artist_name,track_name,track_id,popularity,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,beat_duration,tatum_duration
0,PEDRO SAMPAIO,DANÇARINA,5AT1GKRcXAzgjbF86kc4O5,1,Ostentacao,2022,0.778,0.571,9,-4.776,0,0.0788,0.0423,0.0,0.0964,0.554,134.999,110222,4,1.773954827586207,0.22169987288135592
1,Mc Pedrinho,DANÇARINA,0ISAN8BdKHRdPrW2mdlKNz,0,Ostentacao,2022,0.778,0.571,9,-4.776,0,0.0788,0.0423,0.0,0.0964,0.554,134.999,110222,4,1.773954827586207,0.22169987288135592
2,MC Kevinho,Olha A Explosão,6Q4foUefrAyCt8VxJFML56,67,Ostentacao,2016,0.778,0.635,6,-2.892,1,0.112,0.107,0.0,0.0608,0.379,90.008,162053,4,2.6938844827586204,0.3351783122362869
3,Mc Kadu,Vê Se Me Acha,52iyuDZKt7PoR9TdutXr7c,18,Ostentacao,2022,0.917,0.668,1,-2.889,0,0.138,0.71,0.0,0.0689,0.775,113.347,276706,5,2.09227609375,0.26483517647058824
4,DJ Matt D,Pandora,0yL7K9MzC20uBesZTPY81r,81,Ostentacao,2021,0.688,0.458,1,-9.138,0,0.588,0.14,0.0,0.407,0.559,124.553,177000,4,1.9253082222222224,0.2429004432132964
5,Vulgo FK,"Oi, Como Ce Tá?",5Z4TYur0O9OxmxIo6GC2Gq,81,Ostentacao,2022,0.704,0.724,11,-5.577,0,0.0514,0.0988,0.0,0.0796,0.733,156.101,156154,4,1.5392331313131313,0.19238596009975062
6,MC Teteu,Black Lança (Catucando Gostosinho),3qmdfYpfvKRIXmWaLllHZ3,79,Ostentacao,2021,0.939,0.582,6,-3.545,1,0.138,0.11,0.0,0.295,0.418,130.004,153231,4,1.846163170731707,0.23150042424242423
7,MC L da Vinte,Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT,67,Ostentacao,2018,0.828,0.599,11,-1.624,1,0.149,0.381,0.0,0.0775,0.478,86.533,171692,5,2.79327,0.3474888174273859
8,Mc Davi,Set dos Casados,2xebCnKCjYWBhJ4Ai8hO5E,77,Ostentacao,2021,0.581,0.384,4,-7.618,0,0.295,0.325,0.0,0.0953,0.149,199.884,643200,4,1.524606530120482,0.19139573067632848
9,Mc Don Juan,Não Vou Te Bloquear - Ao vivo,5yRgMxdDhdYlbUQNCOlW3o,78,Ostentacao,2021,0.74,0.747,9,-4.345,1,0.0936,0.0782,0.0,0.948,0.781,159.958,168312,4,1.4953914545454545,0.1878544243792325
10,MC Kevinho,Olha A Explosão - Remix,5RBW30fFFVav2n0IqFj0fY,51,Ostentacao,2018,0.759,0.644,6,-4.858,1,0.116,0.326,0.0,0.0469,0.813,89.983,210773,4,2.656523205128205,0.3352298709677419
11,Mc Davi,Bipolar,0qxLQ6opocOGyFnlXqJ53x,68,Ostentacao,2021,0.601,0.36,9,-7.791,0,0.0877,0.586,0.0,0.0882,0.335,124.993,276480,4,2.2479061666666666,0.28274397916666666
12,Mc Bruninho da Praia,Ela Quer Voltar,4curk67fCkjVXIJA3nmcb9,13,Ostentacao,2022,0.738,0.622,9,-7.66,0,0.349,0.233,0.0,0.0958,0.732,99.994,310634,4,2.355995648854962,0.3009303495145631
13,Dj Tk,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),2IsusePMD32LQKNU7vZiAH,73,Ostentacao,2021,0.599,0.776,6,-3.229,1,0.432,0.0473,1.06e-05,0.119,0.502,162.745,133680,5,1.5580310000000002,0.19613862499999998
14,MC Kevinho,O Grave Bater,6cEJheMNRySY0kBB31jtdk,61,Ostentacao,2017,0.913,0.742,11,-2.35,0,0.0562,0.461,5.19e-05,0.0553,0.805,95.017,181904,4,2.5260752941176476,0.31583295620437957
15,MC Kevinho,Olha a Explosão,52SZqPgS9L8uUNZeGSsU7o,49,Ostentacao,2016,0.754,0.637,6,-2.945,1,0.117,0.12,0.0,0.0596,0.375,90.015,162074,4,2.693931551724138,0.3365854661016949
16,MC Lan,"Malokera (feat. Ludmilla, Ty Dolla $ign)",5JlaPIRxVrZ6ZjJ8IZzSEk,46,Ostentacao,2019,0.936,0.829,5,-4.124,1,0.291,0.151,0.0,0.162,0.621,131.012,194198,4,1.8185419047619045,0.2290273269689737
17,MC L da Vinte,"Set do Dj 2W, Vol. 2",5i9QsbNUyVGw8n0K1Oakde,69,Ostentacao,2021,0.775,0.63,2,-1.268,0,0.121,0.457,0.0,0.106,0.628,86.307,360000,5,2.805330472440945,0.34813655038759694
